# skymap_id,tract,patch,mjd,taiobs
98010800,9801,"8,0",56986.5293592671,2014-11-25 12:42:16.641000
98010501,9801,"5,1",56986.5681837564,2014-11-25 13:38:11.077000
98010702,9801,"7,2",56986.5833059638,2014-11-25 13:59:57.635000
98010308,9801,"3,8",56986.5444745077,2014-11-25 13:04:02.597000
98010800,9801,"8,0",56986.5380398617,2014-11-25 12:54:46.644000
98010004,9801,"0,4",56986.6113736872,2014-11-25 14:40:22.687000
98010501,9801,"5,1",56986.5833059638,2014-11-25 13:59:57.635000
98010702,9801,"7,2",56986.6243568081,2014-11-25 14:59:04.428000
98010800,9801,"8,0",56986.5551876905,2014-11-25 13:19:28.216000
98010501,9801,"5,1",56986.6243568081,2014-11-25 14:59:04.428000
98010308,9801,"3,8",56986.6113736872,2014-11-25 14:40:22.687000
98010004,9801,"0,4",56986.6243568081,2014-11-25 14:59:04.428000
98010703,9801,"7,3",56986.5293592671,2014-11-25 12:42:16.641000
98010800,9801,"8,0",56986.5594826941,2014-11-25 13:25:39.305000
98010308,9801,"3,8",57398.3887508297,2016-01-11 09:19:48.072000
98010004,9801,"0,4",56986.6264709956,2014-11-25 15:02:07.094000
98010703,9801,"7,3",56986.5380398617,2014-11-25 12:54:46.644000
98010308,9801,"3,8",57398.4000918726,2016-01-11 09:36:07.938000
98010703,9801,"7,3",56986.5444745077,2014-11-25 13:04:02.597000
98010800,9801,"8,0",56986.5811934005,2014-11-25 13:56:55.110000
98010004,9801,"0,4",56986.6372479354,2014-11-25 15:17:38.222000
98010308,9801,"3,8",57398.4107609484,2016-01-11 09:51:29.746000
98010004,9801,"0,4",57398.4213987109,2016-01-11 10:06:48.849000
98010800,9801,"8,0",56986.5833059638,2014-11-25 13:59:57.635000
98010703,9801,"7,3",56986.5594826941,2014-11-25 13:25:39.305000
98010807,9801,"8,7",56986.542329276,2014-11-25 13:00:57.249000
98010308,9801,"3,8",57398.4128750479,2016-01-11 09:54:32.404000
98010703,9801,"7,3",56986.5833059638,2014-11-25 13:59:57.635000
98020101,9802,"1,1",56986.6070563965,2014-11-25 14:34:09.673000
98010807,9801,"8,7",56986.5444745077,2014-11-25 13:04:02.597000
98010807,9801,"8,7",56986.5594826941,2014-11-25 13:25:39.305000
98020101,9802,"1,1",56986.6221976299,2014-11-25 14:55:57.875000
98010303,9801,"3,3",56986.5293592671,2014-11-25 12:42:16.641000
98020301,9802,"3,1",56986.6372479354,2014-11-25 15:17:38.222000
98010807,9801,"8,7",57398.385877809,2016-01-11 09:15:39.843000
98020101,9802,"1,1",56986.6264709956,2014-11-25 15:02:07.094000
98020301,9802,"3,1",56986.6394077693,2014-11-25 15:20:44.831000
98010303,9801,"3,3",56986.5401886576,2014-11-25 12:57:52.300000
98010807,9801,"8,7",57398.4107609484,2016-01-11 09:51:29.746000
98020101,9802,"1,1",56986.6394077693,2014-11-25 15:20:44.831000
98020302,9802,"3,2",56986.6006853338,2014-11-25 14:24:59.213000
98010807,9801,"8,7",57398.4192739469,2016-01-11 10:03:45.269000
98020507,9802,"5,7",57398.4235245762,2016-01-11 10:09:52.523000
98020101,9802,"1,1",57106.4141724976,2015-03-25 09:56:24.504000
98020005,9802,"0,5",56986.6006853338,2014-11-25 14:24:59.213000
98020302,9802,"3,2",56986.6070563965,2014-11-25 14:34:09.673000
98020102,9802,"1,2",56986.6006853338,2014-11-25 14:24:59.213000
98020605,9802,"6,5",56986.6113736872,2014-11-25 14:40:22.687000
98020302,9802,"3,2",56986.6264709956,2014-11-25 15:02:07.094000
98020102,9802,"1,2",56986.6070563965,2014-11-25 14:34:09.673000
98020005,9802,"0,5",56986.6135193128,2014-11-25 14:43:28.069000
98020605,9802,"6,5",56986.6264709956,2014-11-25 15:02:07.094000
98020302,9802,"3,2",56986.6372479354,2014-11-25 15:17:38.222000
98020605,9802,"6,5",57398.391605048,2016-01-11 09:23:54.676000
98020507,9802,"5,7",57398.4306568727,2016-01-11 10:20:08.754000
98020102,9802,"1,2",56986.6135193128,2014-11-25 14:43:28.069000
98020005,9802,"0,5",56986.6264709956,2014-11-25 15:02:07.094000
98020605,9802,"6,5",57398.4128750479,2016-01-11 09:54:32.404000
98020102,9802,"1,2",56986.6264709956,2014-11-25 15:02:07.094000
98020005,9802,"0,5",57106.4141724976,2015-03-25 09:56:24.504000
98020302,9802,"3,2",56986.6394077693,2014-11-25 15:20:44.831000
98020102,9802,"1,2",56986.6394077693,2014-11-25 15:20:44.831000
98020605,9802,"6,5",57398.4213987109,2016-01-11 10:06:48.849000
98020005,9802,"0,5",57398.4235245762,2016-01-11 10:09:52.523000
98020303,9802,"3,3",56986.6006853338,2014-11-25 14:24:59.213000
98020605,9802,"6,5",57398.4235245762,2016-01-11 10:09:52.523000
98020102,9802,"1,2",57106.4141724976,2015-03-25 09:56:24.504000
98020005,9802,"0,5",57398.4263706622,2016-01-11 10:13:58.425000
98020400,9802,"4,0",56986.5920522045,2014-11-25 14:12:33.310000
98020303,9802,"3,3",56986.6070563965,2014-11-25 14:34:09.673000
98020400,9802,"4,0",56986.6006853338,2014-11-25 14:24:59.213000
98020005,9802,"0,5",57398.4306568727,2016-01-11 10:20:08.754000
98020400,9802,"4,0",56986.6070563965,2014-11-25 14:34:09.673000
98020005,9802,"0,5",57398.4327680622,2016-01-11 10:23:11.161000
98020303,9802,"3,3",56986.6113736872,2014-11-25 14:40:22.687000
98020400,9802,"4,0",56986.6200417252,2014-11-25 14:52:51.605000
98020303,9802,"3,3",56986.6135193128,2014-11-25 14:43:28.069000
98020303,9802,"3,3",56986.6264709956,2014-11-25 15:02:07.094000
98020400,9802,"4,0",56986.6221976299,2014-11-25 14:55:57.875000
98020303,9802,"3,3",56986.6372479354,2014-11-25 15:17:38.222000
98020400,9802,"4,0",56986.6264709956,2014-11-25 15:02:07.094000
98020303,9802,"3,3",56986.6394077693,2014-11-25 15:20:44.831000
98020201,9802,"2,1",56986.5920522045,2014-11-25 14:12:33.310000
98020400,9802,"4,0",56986.6372479354,2014-11-25 15:17:38.222000
98020607,9802,"6,7",56986.5978113902,2014-11-25 14:20:50.904000
98020104,9802,"1,4",56986.6006853338,2014-11-25 14:24:59.213000
98020201,9802,"2,1",56986.6006853338,2014-11-25 14:24:59.213000
98020504,9802,"5,4",56986.5978113902,2014-11-25 14:20:50.904000
98020303,9802,"3,3",57398.4235245762,2016-01-11 10:09:52.523000
98020607,9802,"6,7",56986.6113736872,2014-11-25 14:40:22.687000
98020104,9802,"1,4",56986.6070563965,2014-11-25 14:34:09.673000
98020201,9802,"2,1",56986.6070563965,2014-11-25 14:34:09.673000
98020207,9802,"2,7",56986.6006853338,2014-11-25 14:24:59.213000
98020504,9802,"5,4",56986.6006853338,2014-11-25 14:24:59.213000
98020104,9802,"1,4",56986.6135193128,2014-11-25 14:43:28.069000
98020607,9802,"6,7",56986.6264709956,2014-11-25 15:02:07.094000
